time,temperature_2m,relative_humidity_2m
2026-07-30 00:00:00,22.1,88
2026-07-30 01:00:00,21.9,90
2026-07-30 02:00:00,21.5,88
2026-07-30 03:00:00,21.2,90
2026-07-30 04:00:00,21.0,90
2026-07-30 05:00:00,21.8,88
2026-07-30 06:00:00,21.8,88
2026-07-30 07:00:00,22.4,82
2026-07-30 08:00:00,23.5,76
2026-07-30 09:00:00,24.7,71
2026-07-30 10:00:00,25.9,65
2026-07-30 11:00:00,27.2,57
2026-07-30 12:00:00,27.6,56
2026-07-30 13:00:00,28.1,58
2026-07-30 14:00:00,28.3,59
2026-07-30 15:00:00,25.3,72
2026-07-30 16:00:00,25.8,67
2026-07-30 17:00:00,25.7,68
2026-07-30 18:00:00,24.8,73
2026-07-30 19:00:00,24.2,73
2026-07-30 20:00:00,23.4,77
2026-07-30 21:00:00,22.9,80
2026-07-30 22:00:00,22.3,84
2026-07-30 23:00:00,22.4,85
2026-07-31 00:00:00,22.1,87
2026-07-31 01:00:00,21.9,88
2026-07-31 02:00:00,21.8,89
2026-07-31 03:00:00,21.7,88
2026-07-31 04:00:00,21.5,88
2026-07-31 05:00:00,21.6,89
2026-07-31 06:00:00,21.8,88
2026-07-31 07:00:00,23.1,83
2026-07-31 08:00:00,24.4,75
2026-07-31 09:00:00,25.6,69
2026-07-31 10:00:00,27.0,62
2026-07-31 11:00:00,28.1,58
2026-07-31 12:00:00,28.8,53
2026-07-31 13:00:00,28.9,53
2026-07-31 14:00:00,28.7,57
2026-07-31 15:00:00,27.4,62
2026-07-31 16:00:00,26.7,61
2026-07-31 17:00:00,27.4,56
2026-07-31 18:00:00,24.6,73
2026-07-31 19:00:00,23.6,77
2026-07-31 20:00:00,23.2,79
2026-07-31 21:00:00,22.3,85
2026-07-31 22:00:00,22.0,91
2026-07-31 23:00:00,22.5,88
2026-08-01 00:00:00,22.3,87
2026-08-01 01:00:00,21.9,89
2026-08-01 02:00:00,21.7,89
2026-08-01 03:00:00,21.3,90
2026-08-01 04:00:00,21.2,91
2026-08-01 05:00:00,21.6,94
2026-08-01 06:00:00,21.7,93
2026-08-01 07:00:00,22.1,91
2026-08-01 08:00:00,22.8,86
2026-08-01 09:00:00,24.4,74
2026-08-01 10:00:00,25.6,68
2026-08-01 11:00:00,25.3,71
2026-08-01 12:00:00,25.8,67
2026-08-01 13:00:00,25.9,66
2026-08-01 14:00:00,27.3,62
2026-08-01 15:00:00,24.2,76
2026-08-01 16:00:00,23.9,82
2026-08-01 17:00:00,25.9,67
2026-08-01 18:00:00,22.2,91
2026-08-01 19:00:00,21.9,91
2026-08-01 20:00:00,22.1,90
2026-08-01 21:00:00,21.9,89
